לקוח,שם לקוח,תקן,תיאור,אחראי לביצוע,שם אחראי,אגף,גירסה,תאריך הוצאה,תאריך עדכון אחרון,פעיל, , , 
7100,Pratt & Whitney Aircraft Group,EAGLE EYES 13-05,Changes to PW Risk Tool,52258,קציר עמוס,,,11/06/2013,11/06/2013,Active,,,
7100,Pratt & Whitney Aircraft Group,EAGLE EYES 13-06,"Change to procedures affecting Balance Source
Qualification (BSQ)",52258,קציר עמוס,,,11/06/2013,11/06/2013,Active,,,
7100,Pratt & Whitney Aircraft Group,EAGLE EYES 13-07,Omission of part marking at the detail level,52258,קציר עמוס,,,11/06/2013,11/06/2013,Active,,,
7100,Pratt & Whitney Aircraft Group,EAGLE EYES 13-08,Changes to the P&W Production Release Strategy,52258,קציר עמוס,,,27/06/2013,27/06/2013,Active,,,
7100,Pratt & Whitney Aircraft Group,EAGLE EYES 13-09,Draft Angle Interpretation,52258,קציר עמוס,,,15/07/2013,15/07/2013,Active,,,
7100,Pratt & Whitney Aircraft Group,EAGLE EYES 13-10,"Eagle Eye for POP 1614 BC, DCS-163 E, & PW-QA 6088 AC",52258,קציר עמוס,,,22/07/2013,22/07/2013,Active,,,
7100,Pratt & Whitney Aircraft Group,EAGLE EYES 13-11,eSRIs,52258,קציר עמוס,,,22/07/2013,22/07/2013,Active,,,
7100,Pratt & Whitney Aircraft Group,EAGLE EYES 13-12,Check and Correct Allowances,52258,קציר עמוס,,,16/08/2013,16/08/2013,Active,,,
7100,Pratt & Whitney Aircraft Group,EAGLE EYES 13-13,Shipment of non-conforming development material,52258,קציר עמוס,,,16/08/2013,16/08/2013,Active,,,
7100,Pratt & Whitney Aircraft Group,EAGLE EYES 13-14,2D Matrix with UID Traceability Number,52258,קציר עמוס,,,13/09/2013,13/09/2013,Active,,,
7100,Pratt & Whitney Aircraft Group,EAGLE EYES 13-15,Serial Number,52258,קציר עמוס,,,17/10/2013,17/10/2013,Active,,,
7100,Pratt & Whitney Aircraft Group,EAGLE EYES 13-16,ISQR-02 First Piece Approvals,52258,קציר עמוס,,,17/10/2013,17/10/2013,Active,,,
7100,Pratt & Whitney Aircraft Group,EAGLE EYES 13-17,"Development Material with Withdrawn
Requirements",52258,קציר עמוס,,,17/10/2013,17/10/2013,Active,,,
7100,Pratt & Whitney Aircraft Group,EAGLE EYES 13-18,"QUALIFICATION AND CONTROL OF AIRFLOW
TEST SYSTEMS",52258,קציר עמוס,,,27/11/2013,27/11/2013,Active,,,
7100,Pratt & Whitney Aircraft Group,EAGLE EYES 13-19,Export Jurisdiction on Blueprints,52258,קציר עמוס,,,11/12/2013,11/12/2013,Active,,,
7100,Pratt & Whitney Aircraft Group,EAGLE EYES 14-01,First Article Checklist Form 9336,52258,קציר עמוס,,,31/01/2014,31/01/2014,Active,,,
7100,Pratt & Whitney Aircraft Group,EAGLE EYES 14-02,"INSPECTION OF PART FEATURES PRODUCED
FROM A COMPUTER MODEL",52258,קציר עמוס,,,31/01/2014,31/01/2014,Active,,,
7100,Pratt & Whitney Aircraft Group,EAGLE EYES 14-03,Audit Issues,52258,קציר עמוס,,,24/03/2014,24/03/2014,Active,,,
7100,Pratt & Whitney Aircraft Group,EAGLE EYES 14-04,RESPONDING TO TEST RESULTS PER MCL MANUAL SECTION F-17,52258,קציר עמוס,,,24/03/2014,24/03/2014,Active,,,
7100,Pratt & Whitney Aircraft Group,EAGLE EYES 14-05,eSRI system Upgrades,52258,קציר עמוס,,,07/04/2014,07/04/2014,Active,,,
7100,Pratt & Whitney Aircraft Group,EAGLE EYES 14-06,Etch Inspection Method EIM Code 1 Anodic and EIM Code 3 Blue Etch Anodize,52258,קציר עמוס,,,28/05/2014,28/05/2014,Active,,,
7100,Pratt & Whitney Aircraft Group,EAGLE EYES 14-07,Shot Peen Coverage Determination,52258,קציר עמוס,,,06/06/2014,06/06/2014,Active,,,
7100,Pratt & Whitney Aircraft Group,EAGLE EYES 14-08,Unassigned Serial Numbers,52258,קציר עמוס,,,06/06/2014,06/06/2014,Active,,,
7100,Pratt & Whitney Aircraft Group,EAGLE EYES 14-09,Contract Review Best Practice,52258,קציר עמוס,,,18/07/2014,18/07/2014,Active,,,
7100,Pratt & Whitney Aircraft Group,EAGLE EYES 14-10,DEVIATION QNs: EC validation date and expiration date tracking,52258,קציר עמוס,,,03/10/2014,03/10/2014,Active,,,
7100,Pratt & Whitney Aircraft Group,EAGLE EYES 14-11,ISQR-01 Part Marking,52258,קציר עמוס,,,03/10/2014,03/10/2014,Active,,,
7100,Pratt & Whitney Aircraft Group,EAGLE EYES 14-12,Accountability of Key Process Characteristic’s,52258,קציר עמוס,,,03/10/2014,03/10/2014,Active,,,
7100,Pratt & Whitney Aircraft Group,EAGLE EYES 14-13,Ring Locked Adapter (Rosan) Installation,52258,קציר עמוס,,,03/10/2014,03/10/2014,Active,,,
7100,Pratt & Whitney Aircraft Group,EAGLE EYES 14-14,METALLURGICAL TEST REPORTS,52258,קציר עמוס,,,03/10/2014,03/10/2014,Active,,,
7100,Pratt & Whitney Aircraft Group,EAGLE EYES 14-15,Material Review Board (MRB) Material Control,52258,קציר עמוס,,,07/01/2014,07/01/2014,Active,,,
7100,Pratt & Whitney Aircraft Group,EAGLE EYES 14-16,Management of Distributors,52258,קציר עמוס,,,10/10/2014,10/10/2014,Active,,,
7100,Pratt & Whitney Aircraft Group,EAGLE EYES 14-17,"Alert on Parting Lines, Masking Lines and Gating
Material",52258,קציר עמוס,,,10/10/2014,10/10/2014,Active,,,
7100,Pratt & Whitney Aircraft Group,EAGLE EYES 14-18,Part Marking Using Electrolytic Etch,52258,קציר עמוס,,,04/12/2014,04/12/2014,Active,,,
7100,Pratt & Whitney Aircraft Group,EAGLE EYES 14-19,"PWA360 Interpretation- When Chained Basic Dimensions
are Used to Define a Profile",52258,קציר עמוס,,,04/12/2014,04/12/2014,Active,,,
7100,Pratt & Whitney Aircraft Group,EAGLE EYES 14-20,PW additional Oversight,52258,קציר עמוס,,,17/12/2014,17/12/2014,Active,,,
7100,Pratt & Whitney Aircraft Group,EAGLE EYES 15-01,"Delegations for First Article Inspection
(FAI) for military hardware.",52258,קציר עמוס,,,07/01/2015,07/01/2015,Active,,,
7100,Pratt & Whitney Aircraft Group,EAGLE EYES 15-02,"PW-QA 6078 Section D, Inspection Instructions",52258,קציר עמוס,,,20/02/2015,20/02/2015,Active,,,
7100,Pratt & Whitney Aircraft Group,EAGLE EYES 15-03,ISQR-01 Part Serialization,52258,קציר עמוס,,,20/02/2015,20/02/2015,Active,,,
7100,Pratt & Whitney Aircraft Group,EAGLE EYES 15-04,"The following applies to SQAPM Section 3 Paragraphs 10.2 and 10.3 for
Pratt & Whitney source inspection at 2nd tier suppliers",52258,קציר עמוס,,,25/03/2015,25/03/2015,Active,,,
7100,Pratt & Whitney Aircraft Group,EAGLE EYES 15-04?,Xpert/Net-Inspect,52258,קציר עמוס,,,07/05/2015,07/05/2015,Active,,,
7100,Pratt & Whitney Aircraft Group,EAGLE EYES 15-05,DQR Training,52258,קציר עמוס,,,11/06/2015,11/06/2015,Active,,,
7100,Pratt & Whitney Aircraft Group,EAGLE EYES 15-06,PWA-QA 6095 Sub Tier Approvals,52258,קציר עמוס,,,11/06/2015,11/06/2015,Active,,,
7100,Pratt & Whitney Aircraft Group,EAGLE EYES 15-07,Pratt & Whitney Supplied Raw Material,52258,קציר עמוס,,,11/06/2015,11/06/2015,Active,,,
7100,Pratt & Whitney Aircraft Group,EAGLE EYES 15-08,CHANGES TO THE SOLUMINA INSPECTION RECORD CHECKLIST,52258,קציר עמוס,,,22/06/2015,22/06/2015,Active,,,
7100,Pratt & Whitney Aircraft Group,EAGLE EYES 15-09,79345 Clarification,52258,קציר עמוס,,,05/07/2015,05/07/2015,Active,,,
