לקוח,שם לקוח,תקן,תיאור,אחראי לביצוע,שם אחראי,אגף,גירסה,תאריך הוצאה,תאריך עדכון אחרון,פעיל, , , 
7170,MTU Aero Engines AG,MTN 94111 BBL2,Vendor quality assurance requirements,,,,-,01/10/1991,01/09/2008,Active,,,
7170,MTU Aero Engines AG,MTN 94111 BBL6,Vendor requirements Instruction for forgings,105114,שוורץ רפאל,,-,01/05/2004,01/10/2015,Active,,,
7170,MTU Aero Engines AG,MTN 94111B-14,Process Specifications for suppliers,115170,ששר עדן,,,01/08/2008,01/02/2010,Active,,,
7170,MTU Aero Engines AG,MTN1208,Parts classification,,,,C,01/11/2005,01/11/2005,Active,,,
7170,MTU Aero Engines AG,MTN41-1,Abradable linings for labyrinth seals Honeycombs,88500,לפיד אלדד,,,01/10/2013,01/10/2013,Active,,,
7170,MTU Aero Engines AG,MTN94111Beiblatt 18,"Inspection and documentation requirements
for prime source suppliers",116145,דפרין חיים,,18,01/04/2014,01/03/2018,Active,,,
7170,MTU Aero Engines AG,MTP 100,ELECTROPLATED OR ELECTROLESS DEPOSITED COATINGS,111534,רוזנשטיין צ'רלס,,,01/05/1991,01/02/2019,Active,,,
7170,MTU Aero Engines AG,MTP 101,ULTRASONIC INSPECTION ACCEPTANE LIMITS,108787,חן שבתאי,,,01/07/1995,01/07/1995,Active,,,
7170,MTU Aero Engines AG,MTP 10459,"PW2037,TRAGER,DICHTRING,NDT,ST.3:NAHTLOS,VORGEDREHT",,,,,01/01/1994,01/01/1994,Active,,,
7170,MTU Aero Engines AG,MTP 10646,"Project V2500,Blade 3 stg",,,,C,01/04/1990,01/04/1990,Active,,,
7170,MTU Aero Engines AG,MTP 10647-1,"PROJEKT V2500: LAUFCHAUFEL, TRB, ST 4 BIS 6: FEINGUSS",,,,,01/08/1991,01/08/1991,Active,,,
7170,MTU Aero Engines AG,MTP 10703,"Dffuser segment, inner",105155,הרוש ציון,,,01/10/2002,01/10/2002,Active,,,
